median_home_value,population,families,households,pct_female,pct_12_24_yrs,pct_25_64_yrs,pct_65_plus,pct_single_adult,number_of_homes,vacancy_rate,pct_5plus_rooms,avg_rent,county_id
51300,77,17,25,0.5324675,0.2987013,0.2987013,0.2337662,0.32,29,0.137931,0.7241379,138,98
48000,48761,13674,19134,0.524415,0.1753656,0.528209,0.1204036,0.2610014,20640,0.0729651,0.7030039,344,99
33300,291,83,113,0.5395189,0.2817869,0.443299,0.0996564,0.2477876,133,0.1503759,0.6090226,139,100
25400,2214,609,815,0.5401987,0.2028004,0.4873532,0.1355014,0.2294479,875,0.0685714,0.7074286,226,101
40700,53589,14672,20685,0.5306126,0.1845155,0.5055702,0.1265372,0.2612521,22190,0.0678233,0.7026589,307,102
26400,1138,305,422,0.5325132,0.1739895,0.4657293,0.2144112,0.2725118,452,0.0663717,0.6659292,169,103
34500,474,143,177,0.4894515,0.2278481,0.4957806,0.1244726,0.180791,187,0.0534759,0.7754011,238,104
15400,483,125,205,0.5610766,0.1884058,0.4057971,0.2070393,0.3804878,224,0.0848214,0.6383929,129,105
19400,243,69,101,0.563786,0.2386831,0.4197531,0.2386831,0.2970297,107,0.0560748,0.7102804,179,106
21800,2579,713,1034,0.5250097,0.2159752,0.4908879,0.1430787,0.2717602,1164,0.1116838,0.6907216,201,107
31100,1087,302,411,0.5326587,0.1968721,0.4517019,0.1913523,0.2530414,441,0.0680272,0.7868481,235,108
24200,118,38,53,0.5338983,0.1525424,0.4830508,0.2542373,0.2830189,65,0.1846154,0.7538462,156,109
28400,4011,1088,1506,0.5297931,0.1829968,0.4834206,0.1829968,0.2616202,1755,0.1418803,0.7270655,187,110
30300,458,116,181,0.5065502,0.1746725,0.4803493,0.1659389,0.2928177,205,0.1170732,0.6536585,329,111
26300,225,56,74,0.5066667,0.24,0.4311111,0.16,0.2162162,86,0.1395349,0.7093023,138,112
22500,44,8,18,0.6590909,0.3636364,0.4090909,0.1590909,0.4444444,19,0.0526316,0.5789474,99,113
44500,20123,5679,7636,0.51707,0.1968394,0.513989,0.115291,0.2213201,8466,0.0980392,0.7219466,369,114
16300,267,62,92,0.5280899,0.2284644,0.4344569,0.14606739999999999,0.3152174,128,0.28125,0.6484375,100,115
35400,13220,3553,4898,0.5342663,0.1964448,0.4774584,0.1385023,0.2515312,5457,0.1024372,0.6619021,254,116
24400,199,57,81,0.5477387,0.241206,0.4974874,0.1557789,0.2839506,92,0.1195652,0.7065217,219,117
31500,2281,586,821,0.5361683,0.1578255,0.4717229,0.1907058,0.2582217,889,0.0764904,0.7694038,167,118
37600,438,134,160,0.5091324,0.1666667,0.5159817,0.1438356,0.1625,171,0.0643275,0.8187135,217,119
26700,3911,1061,1506,0.5589363,0.1695219,0.4492457,0.1810279,0.2881806,1735,0.1319885,0.7008646,188,120
33600,571,158,209,0.502627,0.2276708,0.474606,0.1313485,0.2200957,220,0.05,0.7727273,243,121
34900,12200,3248,4568,0.5591803,0.1768852,0.4704098,0.1764754,0.2716725,4988,0.0842021,0.7205293,288,122
52500,8485,2428,3550,0.5416618,0.1466117,0.4734237,0.2313494,0.2907042,3808,0.0677521,0.7389706,385,123
32700,383,110,128,0.4725849,0.2114883,0.4281984,0.1409922,0.1328125,138,0.0724638,0.7101449,249,124
31500,1337,299,392,0.5632012,0.1376215,0.4173523,0.3275991,0.2142857,425,0.0776471,0.7270588,240,125
21300,96,27,37,0.5208333,0.1458333,0.4895833,0.1875,0.2702703,40,0.075,0.725,113,126
25600,200,52,65,0.52,0.22,0.42,0.215,0.1846154,76,0.1447368,0.7894737,99,127
47200,1033,251,304,0.5043562,0.1665053,0.5730881,0.1413359,0.1447368,326,0.0674847,0.8067485,284,128
24800,1811,507,685,0.527333,0.1976808,0.4710105,0.1452236,0.2423358,781,0.1229193,0.7234315,202,129
14999,2075,591,909,0.5508434,0.1633735,0.4583133,0.2409639,0.3223322,1063,0.144873,0.6716839,146,130
36100,36426,9960,14910,0.5424148,0.2048537,0.4735079,0.1657882,0.29611,15913,0.0630302,0.6924527,295,131
40400,4937,1346,1897,0.5452704,0.1778408,0.4435892,0.2047802,0.2662098,2127,0.1081335,0.6511519,300,132
53200,10395,3187,4041,0.5260221,0.1669072,0.5375661,0.1599808,0.1972284,4160,0.0286058,0.8819712,346,133
14999,667,156,215,0.5517241,0.2488756,0.4107946,0.1109445,0.255814,242,0.1115702,0.6115702,99,134
22400,1240,316,425,0.5725806,0.2266129,0.4072581,0.1370968,0.2541176,474,0.1033755,0.757384,186,135
71300,4128,540,556,0.3703973,0.4333818,0.3631298,0,0.028777,576,0.0347222,0.7760417,456,136
31200,11838,3416,4775,0.5361548,0.175283,0.4994932,0.1573746,0.2657592,5236,0.0880443,0.6959511,260,137
